time_bjd,raw_flux,clean_flux
1325.2969604950604,0.99975544,1.777258
1325.2983493645327,0.9998463,0.94893014
1325.299738234005,0.999765,1.171892
1325.301127103477,0.99978906,1.1970606
1325.3025159730657,0.9997477,0.9809737
1325.303904842538,0.99999195,0.95135945
1325.3052937121265,0.9997951,1.273969
1325.3066825815986,0.9998353,1.0372123
1325.3080714511873,0.99992955,1.1208454
1325.309460320776,0.99993896,1.0082966
1325.310849190248,0.9996012,1.2040933
1325.3122380598365,0.99959904,1.3467801
1325.3136269294255,0.999636,0.9498416
1325.3150157990146,0.9997866,1.0305341
1325.3164046686034,0.99997866,1.1820115
1325.3177935381912,0.99965626,1.1494491
1325.3191824077803,0.9998061,1.0792007
1325.320571277369,1.0001476,1.0367806
1325.3219601469568,0.99977636,1.1531913
1325.3233490165462,0.999938,1.185277
1325.324737886135,0.999819,0.91034144
1325.3261267557227,0.9997167,1.277798
1325.3275156254285,0.9999726,1.0934845
1325.328904495017,0.99978304,0.96785516
1325.3302933647215,0.99992436,1.284823
1325.3316822343108,1.0000017,0.909589
1325.3330711040164,0.99953115,1.236752
1325.3344599736051,0.99974924,1.1297426
1325.33584884331,0.9999039,0.9643052
1325.3372377130152,0.99995285,1.0821958
1325.3386265826039,0.9997817,1.0167266
1325.3400154523088,0.9999842,1.2538091
1325.3414043220137,0.9997775,1.1537426
1325.3427931917188,1.0000184,1.0966041
1325.344182061424,0.99997807,1.1977003
1325.3455709311288,0.9998392,1.0443369
1325.3469598008346,0.99955356,1.174728
1325.3483486705395,0.9998092,1.0409697
1325.349737540244,0.9996492,1.1833985
1325.3511264099498,1.0000646,0.9723909
1325.3525152796547,0.9998502,1.1375356
1325.3539041494755,1.0000405,1.099796
1325.355293019181,1.0000032,1.050915
1325.3566818888862,0.99988896,1.097723
1325.3580707587068,1.0000074,0.9903995
1325.3594596284124,0.99977374,1.2330313
1325.3608484982342,0.99994713,1.0081023
1325.3622373679384,0.9998998,1.1747969
