time_bjd,raw_flux,clean_flux
1325.2969604950604,0.99975544,0.9954578496219304
1325.2983493645327,0.9998463,1.0024340606702171
1325.299738234005,0.999765,1.0025599928243698
1325.301127103477,0.99978906,1.0023480866694756
1325.3025159730657,0.9997477,1.0045457138995937
1325.303904842538,0.99999195,1.0040640488535224
1325.3052937121265,0.9997951,1.0025580381825971
1325.3066825815986,0.9998353,1.0034803108351755
1325.3080714511873,0.99992955,1.0043988143394182
1325.309460320776,0.99993896,1.0043988114161637
1325.310849190248,0.9996012,1.0050892773265816
1325.3122380598365,0.99959904,1.0017910059110164
1325.3136269294255,0.999636,1.0034859538559933
1325.3150157990146,0.9997866,1.0047284064222073
1325.3164046686034,0.99997866,1.0026316201408634
1325.3177935381912,0.99965626,1.0038048273108642
1325.3191824077803,0.9998061,1.003240299515423
1325.320571277369,1.0001476,1.0032072833335581
1325.3219601469568,0.99977636,1.0048549024863276
1325.3233490165462,0.999938,1.0028671153725424
1325.324737886135,0.999819,1.0050874409915203
1325.3261267557227,0.9997167,1.002939917886439
1325.3275156254285,0.9999726,1.0038440427847444
1325.328904495017,0.99978304,1.0034674685455856
1325.3302933647215,0.99992436,1.0019755772842889
1325.3316822343108,1.0000017,1.0046978956059993
1325.3330711040164,0.99953115,1.0034065832758507
1325.3344599736051,0.99974924,1.002401393084987
1325.33584884331,0.9999039,1.003294617419803
1325.3372377130152,0.99995285,1.0055154160767263
1325.3386265826039,0.9997817,1.0036949038687215
1325.3400154523088,0.9999842,1.002765522114292
1325.3414043220137,0.9997775,1.004532806910971
1325.3427931917188,1.0000184,1.0031636063043219
1325.344182061424,0.99997807,1.0031713491921888
1325.3455709311288,0.9998392,1.0042037795593757
1325.3469598008346,0.99955356,1.0026334613695194
1325.3483486705395,0.9998092,1.0031536314553173
1325.349737540244,0.9996492,1.002920209276598
1325.3511264099498,1.0000646,1.0049482060849877
1325.3525152796547,0.9998502,1.0033915849279684
1325.3539041494755,1.0000405,1.0019921342188234
1325.355293019181,1.0000032,1.003264936936966
1325.3566818888862,0.99988896,1.0035479276845054
1325.3580707587068,1.0000074,1.004344562022628
1325.3594596284124,0.99977374,1.003324959554965
1325.3608484982342,0.99994713,1.00348016522712
1325.3622373679384,0.9998998,1.0037706312842365
1325.3636262377604,1.000029,1.0037708936918122
1325.3650151075826,0.99994105,1.0028626153820308
1325.366403977287,0.99988425,1.003101841693211
1325.3677928471084,0.99977934,1.0036879546389867
1325.3691817169306,0.9999834,1.0031067458636105
1325.3705705867512,0.99990046,1.0028362793852355
1325.3719594565728,0.99979424,1.0043576795923144
1325.373348326395,0.9998814,1.0029033984693019
1325.3747371962163,0.99994963,1.0019529588444394
1325.3761260660376,0.9998675,1.0033406047396143
1325.3775149358592,1.0000268,1.0031076082188017
1325.3789038056807,0.9999285,1.0034098208766267
1325.380292675502,0.99991953,1.0030043278346232
1325.3816815454397,0.9999104,1.005027206920056
1325.383070415262,1.000045,0.9998427235516727
1325.3844592850835,0.99983925,1.0020542250223694
1325.3858481550205,0.999893,1.0038489390852134
1325.3872370248428,0.9998484,1.0017213123772388
1325.3886258947805,0.999965,1.0042692310271866
1325.3900147646013,0.9998909,1.00360846283101
1325.39140363454,0.99992436,1.003521586775459
1325.3927925043613,0.99983054,1.0032360417941804
1325.3941813742986,0.9998809,1.002675760573252
1325.3955702442372,0.999945,1.0038025941338695
1325.396959114175,0.9998349,1.0030277821713591
1325.3983479841122,0.99992174,1.0033842868315024
1325.3997368539342,1.0001204,1.0021489364334748
1325.4011257238726,0.99981284,1.0025530974087131
1325.4025145938099,0.9999898,1.0027396248933078
1325.4039034637476,1.0000362,1.0038694186362473
1325.4052923336862,0.9999565,1.0030022380185388
1325.40668120374,0.9999438,1.0008020442872951
